title,abstract,id,day,month,year
3D Slicer combined with neuroendoscopic surgery for the treatment of basal ganglia hemorrhage after cranioplasty: A case report and literature review.,"The minimally invasive surgery through transcranial endoscopic keyhole approach has become the main surgical method for treating cerebral hemorrhage. This method has the advantages of small trauma, short surgical time, low bleeding volume, and fast postoperative recovery. However, this method is not suitable for cases where cerebral hemorrhage occurs again after skull repair surgery. Our team used 3D Slicer reconstruction combined with virtual reality technology to find a suitable keyhole surgical approach and successfully completed a neuroendoscopic removal of basal ganglia hemorrhage through the eyebrow arch keyhole approach in a case of recurrent cerebral hemorrhage after cranioplasty.",39315130,13,9,2024
Knowledge mapping of freezing of gait in Parkinson's disease: a bibliometric analysis.,"Among the disturbing motor symptoms in Parkinson's disease (PD), freezing of gait (FOG) stands out as one of the most severe challenges. It typically arises during the initiation of gait or when turning. This phenomenon not only impose a heavy burden on patients, but also on their families. We conduct a bibliometric analysis to summarize current research hotspots and trends concerning freezing of gait in Parkinson's disease (PD-FOG) over past two decades. We retrieved articles and reviews published in English about PD-FOG in the Web of science Core Collection database from 2000 to 2023 on November 30,2023. The tools VOSviewer and CiteSpace facilitated a visual analysis covering various aspects such as publications, countries/regions, organizations, authors, journals, cited references, and keywords. This study includes 1,340 articles from 64 countries/regions. There is a growth in publications related to PD-FOG over the past two decades, maintaining a stable high output since 2018, indicating a promising research landscape in the field of PD-FOG. The United States holds a leading position in this field, with Nieuwboer A and Giladi N being two of the most influential researchers. Over the past two decades, the research hotspots for PD-FOG have primarily encompassed the kinematic characteristics, diagnosis and detection, cognitive deficits and neural connectivity, as well as therapy and rehabilitation of PD-FOG. Topics including functional connectivity, virtual reality, deep learning and machine learning will be focal points of future research. This is the first bibliometric analysis of PD-FOG. We construct this study to summarize the research in this field over past two decades, visually show the current hotspots and trends, and offer scholars in this field concepts and strategies for subsequent studies.",39315077,9,9,2024
Human centered design of AI-powered Digital Therapeutics for stress prevention: Perspectives from multi-stakeholders' workshops about the SHIVA solution.,"AI-powered Digital Therapeutics (DTx) hold potential for enhancing stress prevention by promoting the scalability of P5 Medicine, which may offer users coping skills and improved self-management of mental wellbeing. However, adoption rates remain low, often due to insufficient user and stakeholder involvement during the design phases. This study explores the human-centered design potentials of SHIVA, a DTx integrating virtual reality and AI with the SelfHelp+ intervention, aiming to understand stakeholder views and expectations that could influence its adoption. Using the SHIVA example, we detail design opportunities involving AI techniques for stress prevention across modeling, personalization, monitoring, and simulation dimensions. Workshops with 12 stakeholders-including target users, digital health designers, and mental health experts-addressed four key adoption aspects through peer interviews: AI data processing, wearable device roles, deployment scenarios, and the model's transparency, explainability, and accuracy. Stakeholders perceived AI-based data processing as beneficial for personalized treatment in a secure, privacy-preserving environment. While wearables were deemed essential, concerns about compulsory use and VR headset costs were noted. Initial human facilitation was favored to enhance engagement and prevent dropouts. Transparency, explainability, and accuracy were highlighted as crucial for the stress detection model. Stakeholders recognized AI-driven opportunities as crucial for SHIVA's adoption, facilitating personalized solutions tailored to user needs. Nonetheless, challenges persist in developing a transparent, explainable, and accurate stress detection model to ensure user engagement, adherence, and trust.",39314669,14,9,2024
Extended Reality in Revolutionizing Neurological Disease: A New Era for Chronic Condition Treatment.,"Extended reality (XR), which includes virtual reality (VR), augmented reality (AR), and mixed reality (MR), provides promising advancements in managing chronic neurological disorders such as Parkinson's disease (PD), multiple sclerosis (MS), Alzheimer's disease, and stroke. This review examines the impact of XR technologies on neurological care, highlighting their ability to create immersive, interactive environments that enhance rehabilitation through tailored motor and cognitive exercises. XR supports neuroplasticity by providing engaging, contextually relevant exercises and real-time feedback, offering innovative alternatives to traditional methods. The technical issues, clinical validation, and accessibility must be addressed despite the potential benefits. Future developments should focus on refining XR applications, integrating them with complementary technologies, and establishing robust policies to guide their effective and ethical use. XR is poised to revolutionize neurological rehabilitation, promising improved patient outcomes and transforming medical training.",39314602,23,8,2024
Implementation of a Virtual Reality Intervention in Outpatient Physiotherapy for Chronic Pain: Protocol for a Pilot Implementation Study.,"Chronic pain is a global health issue that causes physical, psychological, and social disabilities for patients, as well as high costs for societies. Virtual reality (VR) is a new treatment that provides an opportunity to narrow the gap between clinical practice and recommended care in the use of patient education and behavioral interventions in the outpatient physiotherapy setting. However, there is currently no implementation strategy to integrate VR treatments into this setting. This protocol outlines a pilot implementation study that aims to (1) identify barriers and facilitators for implementing a VR intervention in outpatient physiotherapy care for people with chronic pain and (2) develop and pilot test an implementation strategy in 5 practices in Germany. The study consists of 4 phases. The first phase involves adapting the treatment protocol of the VR intervention to the local context of outpatient physiotherapy practices in Germany. The second phase includes the collection of barriers and facilitators through semistructured interviews from physiotherapists and the development of a theory-driven implementation strategy based on the Theoretical Domains framework and the Behavior Change Wheel. This strategy will be applied in the third phase, which will also include a 6-month span of using VR interventions in practices, along with a process evaluation. The fourth phase consists of semistructured interviews to evaluate the developed implementation strategy. The recruitment process and phase 1, including the adaptation of the treatment protocol, have already been completed. We recruited 5 physiotherapy practices in Lower Saxony, Germany, where the VR intervention will be implemented. The collection of barriers and facilitators through semistructured interviews is scheduled to begin in February 2024. This pilot implementation study aims to develop a theory-driven implementation strategy for integrating a VR intervention into outpatient physiotherapy care for people with chronic pain. The identified barriers and facilitators, along with the implementation strategy, will serve as a starting point for future randomized controlled implementation studies in different settings to refine the implementation process and integrate VR interventions into the outpatient care of people with chronic pain. German Clinical Trials Register DRKS00030862; https://tinyurl.com/3zf7uujx. DERR1-10.2196/58089.",39312768,23,9,2024
The IntegraPark Study: An Opportunity to Facilitate High-Intensity Exercise with Immersive Virtual Reality in Parkinson's Disease Patients.,"high-intensity exercise is a feasible and effective modality in the early stages of Parkinson's disease (PD). However, there are only a few studies that have carried out this type of intervention in customizable immersive virtual reality (IVR) environments. We explore the feasibility and effects of IVR-based high-intensity training through rowing and cycling exercises on the functional capacity, quality of life, and progression of PD. a total of 12 participants (61.50 ± 10.49 years old; 41.7% female, 58.3% male; stages I-III) were part of the study, which consisted of interventions of rowing and cycling in an IVR commercial exergame (25 min; twice per week for 14 weeks). The main variables measured were functional capacity, handgrip strength, functional mobility (TUG), functional lower-limb strength (FTSST), aerobic capacity (2-min step test), quality of life (PDQ-39), and Parkinson's disease progression (MDS-UPDRS). the results showed a general improvement in handgrip strength in both hands ( p  = 0.008; d = 0.28), FTSST ( p  = 0.029; d = 0.96), and TUG times ( p  = 0.152; d = 0.22). Aerobic capacity, assessed by a 2-min step test, showed enhanced scores ( p  = 0.031; d = 0.78). Related to the PDQ-39, all dimensions of the scale were enhanced, highlighting activities of daily living ( p  = 0.047; d = 0.29) and bodily discomfort ( p  = 0.041; d = 0.37). Finally, the main symptoms of the disease were reduced, with an improvement in the parameters that show a better incidence of disease progression, such as Part IA and IB ( p  = 0.013; d = 0.29 and  p  = 0.021; d = 0.25, respectively), Part II ( p  = 0.021; d = 0.23), Part III ( p  = 0.040; d = 0.39), and Part IV ( p  = 0.013; d = 0.39). the therapeutic exercise (rowing and cycling), when carried out at a high intensity and in a personalized IVR scenario, appear to be a feasible and safe modality for patients with stages I-III of PD, improving their functional capacity, quality of life, and disease progression.",39311264,3,9,2024
Artificial intelligence and psychedelic medicine.,"Artificial intelligence (AI) and psychedelic medicines are among the most high-profile evolving disruptive innovations within mental healthcare in recent years. Although AI and psychedelics may not have historically shared any common ground, there exists the potential for these subjects to combine in generating innovative mental health treatment approaches. In order to inform our perspective, we conducted a scoping review of relevant literature up to late August 2024 via PubMed intersecting AI with psychomedical use of psychedelics. Our perspective covers the potential application of AI in psychedelic medicine for: drug discovery and clinical trial optimization (including pharmacodynamics); study design; understanding psychedelic experiences; personalization of treatments; clinical screening, delivery, and follow-up (potentially delivered via chatbots/apps); application of psychological preparation, integration, and general mental health support; its role in enhancing treatment via brain modulatory devices (including virtual reality and haptic suits); and the consideration of ethical and security safeguards. Challenges include the need for sufficient data protection and security, and a range of necessary ethical protections. Future avenues of exploration could involve directly administering psychedelics (or providing algorithm-generated effects) to inorganic AI-interfaced neural networks that may exceed human brain activity (i.e., cognitive capacity) and intelligence.",39308441,23,9,2024
Virtual Reality as an Adjunct to Traditional Patient Counseling in Patients With Newly Diagnosed Localized Prostate Cancer.,"To determine the utility of a virtual reality (VR) model constructed using patient-derived clinical imaging to improve patient understanding of localized prostate cancer (PCa) diagnosis and surgical plan. Patients undergoing robotic radical prostatectomy were selected and demographic data recorded. Patients completed a questionnaire to assess baseline knowledge of their diagnosis after consultation and shared-decision making with their surgeon. A trained non-clinical staff member then guided the patient through a VR experience to view patient-specific anatomy in a 3-dimensional space. Patients then completed the same questionnaire, followed by an additional post-VR questionnaire evaluating patient satisfaction. Questions 1-7 (patient understanding of prostate cancer and treatment plan) and 11-17 (patient opinion of VR) used a standard Likert scale and Questions 8-10 were multiple choice with 1 correct answer. In total, 15 patients were included with an average age of 64.1 years. 6 of 7 questions showed an improvement after VR (P <.001). The percentage of correct responses on Questions 8-10 was higher after VR but not statistically significant (P >.13). Mean responses range from 4.3 to 4.8 (Likert scale, 1 through 5) for the post-VR questionnaire, with a mean total of 31.9 out of 35. This small preliminary investigation of a novel technology to improve the patient experience showed potential as an adjunct to traditional patient counseling. However, due the small sample size and study design, further research is needed to determine the value VR adds to prostate cancer surgical counseling.",39307432,20,9,2024
The Effectiveness of Immersive Virtual Reality as A Complementary Approach and a New Direction in Cancer Related Fatigue Management.,"Background:  Recent advancements in the field of medical technology have illuminated that the implementation of virtual reality interventions can be highly effective in managing cancer-related fatigue. Moreover, this innovative intervention has demonstrated a substantial improvement in patients' overall well-being and daily functioning. Thus, it represents a promising alternative to traditional pharmacological treatments by effectively addressing symptoms and enhancing quality of life. Therefore, the integration of this approach signifies a significant advancement in patient care. Nevertheless, despite the ongoing efforts to diversify non-pharmacological treatments, pharmacological interventions are still the predominant method for managing cancer-related fatigue.  Aim:  This systematic review aimed to evaluate the effectiveness of immersive virtual reality in cancer-related fatigue management, and to explore the main side effects of immersive virtual reality.  Methods:  This systematic review was conducted according to Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) standards. Several online databases were used to find eligible studies in peer-reviewed journals relevant to the study keywords. Specifically, the included studies were systematic reviews and clinical trials that used immersive virtual reality-based intervention among adult patients with cancer and suffering from cancer-related fatigue. As well as were published in the English language from 2014 to 2024. As well as, three researchers independently contributed to study selections, data extraction, and study evaluations from different aspects: including quality assessment, risk of bias, and study synthesis.  Results:  After an extensive and comprehensive search, a total of ten published studies were included in this review study; 6 articles were quantitative clinical trial studies, and the other 4 were systematic review and meta-analysis studies. The quality of 6 included clinical trials was assessed using the Effective Public Health Practice Project (EPHPP) Quality Assessment Tool for quantitative studies, the overall result showed that 33.3% of studies rated with moderate quality, no study was rated with low quality, and (66.7%) studies rated as high-quality studies. As well, the quality assessment of all review studies showed that all included systematic reviews and meta-analyses with a low risk of bias and high to moderate power of evidence. The result of this extensive and comprehensive review showed that immersive virtual reality has a significant effect in reducing cancer-related fatigue, however, still, there is a significant variation in the employment of immersive Virtual Reality protocols for cancer symptom management worldwide.  Conclusion:  Immersive virtual reality is an effective non-pharmacological intervention in reducing and controlling cancer-related fatigue among patients with various types of cancer, as well as being an affordable, cost-effective approach. Nevertheless, there remains a notable gap in the existing literature concerning virtual reality protocols, associated side effects, and the underlying mechanisms by which immersive virtual reality alleviates fatigue. Therefore, further research studies are warranted to address these gaps and advance our understanding in these areas.",39305200,NA,NA,NA
"Virtual reality-based therapy after anterior cruciate ligament injury effectively reduces pain and improves knee function, movement patterns, and dynamic balance: A systematic review and meta-analysis.","Virtual reality-based therapy (VRBT) may be an effective physical therapy complement employed in the rehabilitation of patients with anterior cruciate ligament (ACL) injury. This study aims to assess the effectiveness of VRBT in improving pain, knee function, strength, proprioception, flexion range of motion (ROM), and dynamic balance after ACL injury. We conducted this systematic review with meta-analysis following PRISMA criteria. Since inception to June 2024, we searched in PubMed Medline, WOS, SCOPUS, CINAHL and PEDro without publication date and language restrictions. Randomised controlled trials (RCTs), comprising only patients with ACL injury, that assess the effectiveness of VRBT compared to classical interventions on the outcomes of interest were included. PEDro scale was employed to analyze the methodological quality of the RCTs included. Cohen's standardised mean difference (SMD) and its 95% confidence interval (95% CI) was used to calculate the pooled effect in meta-analyses. Nine RCTs, providing data from 330 participants (26.96 ± 3.11 years, 85% males) were included. The RCTs included showed good methodological quality (PEDro scale = 6.88 points), being, performance and detection biases, the most common biases reported. Meta-analyses showed that VRBT was more effective than classical interventions in reducing pain (SMD = -1.15; 95% CI -1.85 to -0.45; p = 0.001; I 2  = 0%), and increasing knee function (SMD = 1.71; 95% CI 0.93 to 2.5; p < 0.001; I 2  = 0%), strength (SMD = 0.82; 95% CI 0.4-1.23; p < 0.001; I 2  = 0%) and flexion ROM (SMD = 0.7; 95% CI 0.37-1.01; p < 0.001; I 2  = 0%). Additionally, VRBT improved postero-medial (SMD = 0.46; 95% CI 0.01-0.9; p = 0.045; I 2  = 15.1%) and postero-lateral CoP excursion (SMD = 0.75; 95% CI 0.3-1.21; p = 0.001; I 2  = 0%), being effective in improving dynamic balance. VRBT is an effective physical therapy complement to be included in the ACL's rehabilitation programmes due to reduces pain and increases knee function, strength, ROM and dynamic balance after ACL injury. Level II evidence.",39302094,20,9,2024
Clinicians' perspectives of immersive tools in clinical mental health settings: a systematic scoping review.,"Virtual Reality in mental health treatment has potential to address a wide spectrum of psychological and neurocognitive disorders. Despite the proven benefits, integration into clinical practice faces significant challenges. There is a critical need for research into clinicians' perceptions of virtual reality due to the gap between rapid technological advancements and their adoption in mental health services. A scoping review was conducted to comprehensively understand clinicians' perspectives on the application of immersive virtual reality technologies within mental health settings. 4 data bases were searched, from inception, with the search areas of clinicians', technology, perspectives and mental health. The scoping review followed the PRISMA-ScR checklist. All results were thematically analysed to identify and categorise themes with a focus on qualitative analyses of clinicians' experiences and perceptions of VR applications in therapeutic contexts. 17 articles were selected, encompassing a range of mental health settings. The findings indicate that the integration of VR in clinical environments is heavily influenced by clinicians' knowledge and experience, with unfamiliarity often leading to scepticism. Positive attitudes towards VR, bolstered by direct experience and training, were found to drive acceptance, as clinicians' acknowledged its potential to complement traditional therapies. However, there are still gaps in understanding VR's therapeutic applications, particularly concerning its impact on human interaction and its suitability for specific patient groups. Balancing VR's clinical benefits with ethical and safety concerns is crucial, especially when working with vulnerable populations. Furthermore, structural and administrative support is essential to overcoming the financial and logistical challenges of VR implementation, ensuring its safe and effective integration into mental health care. While VR holds significant potential for enhancing mental health care, its successful integration into clinical practice necessitates addressing existing gaps in knowledge, training, and structural support. By carefully balancing its clinical benefits with ethical, practical, and safety considerations, VR can be effectively utilised as a valuable tool in mental health treatment, providing innovative solutions while ensuring that patient care remains paramount.",39294727,18,9,2024
Investigating the impact of virtual simulation experiment and massive open online course (MOOC) on medical students' wound debridement training: a quasi-experimental study.,"This study aims to evaluate the impact of virtual simulation experiment teaching model and Massive Open Online Course (MOOC) teaching model on the teaching effect in debridement teaching. The study adopted a quasi-experimental design and used virtual simulation technology to construct a virtual simulation experimental teaching platform for debridement. This study was conducted at the Second Clinical College of Wuhan University. The experimental group was composed of 135 third-year clinical medicine students in the 2020 grade, who received the virtual simulation experimental teaching model; the control group was 122 third-year students in the same major in the 2019 grade, who used the MOOC teaching model. The performance of the two groups of students was evaluated through theoretical tests and animal experiment operation. In addition, the effectiveness of the experimental teaching model and student satisfaction were evaluated through questionnaire surveys. The theoretical test scores and animal experiment report scores of the experimental group were significantly higher than those of the control group, and the debridement animal experiment operation time of the experimental group was shorter than that of the control group, and the difference was statistically significant (P < 0.05). The post-class questionnaire survey of the experimental group showed that most students were satisfied with the virtual simulation experimental teaching model and believed that it represented the future teaching trend. In the teaching of debridement, virtual simulation experiment is an effective t teaching model, which not only helps to improve student performance, but also significantly reduces skill operation time and is recognized by students.",39294595,18,9,2024
Exploring Adaptive Virtual Reality Systems Used in Interventions for Children With Autism Spectrum Disorder: Systematic Review.,"Adaptive systems serve to personalize interventions or training based on the user's needs and performance. The adaptation techniques rely on an underlying engine responsible for processing incoming data and generating tailored responses. Adaptive virtual reality (VR) systems have proven to be efficient in data monitoring and manipulation, as well as in their ability to transfer learning outcomes to the real world. In recent years, there has been significant interest in applying these systems to improve deficits associated with autism spectrum disorder (ASD). This is driven by the heterogeneity of symptoms among the population affected, highlighting the need for early customized interventions that target each individual's specific symptom configuration. Recognizing these technology-driven therapeutic tools as efficient solutions, this systematic review aims to explore the application of adaptive VR systems in interventions for young individuals with ASD. An extensive search was conducted across 3 different databases-PubMed Central, Scopus, and Web of Science-to identify relevant studies from approximately the past decade. Each author independently screened the included studies to assess the risk of bias. Studies satisfying the following inclusion criteria were selected: (1) the experimental tasks were delivered via a VR system, (2) system adaptation was automated, (3) the VR system was designed for intervention or training of ASD symptoms, (4) participants' ages ranged from 6 to 19 years, (5) the sample included at least 1 group with ASD, and (6) the adaptation strategy was thoroughly explained. Relevant information extracted from the studies included the sample size and mean age, the study's objectives, the skill trained, the implemented device, the adaptive strategy used, the engine techniques, and the signal used to adapt the systems. Overall, a total of 10 articles were included, involving 129 participants, 76% of whom had ASD. The studies included level switching (7/10, 70%), adaptive feedback strategies (9/10, 90%), and weighing the choice between a machine learning (ML) adaptive engine (3/10, 30%) and a non-ML adaptive engine (8/10, 80%). Adaptation signals ranged from explicit behavioral indicators (6/10, 60%), such as task performance, to implicit biosignals, such as motor movements, eye gaze, speech, and peripheral physiological responses (7/10, 70%). The findings reveal promising trends in the field, suggesting that automated VR systems leveraging real-time progression level switching and verbal feedback driven by non-ML techniques using explicit or, better yet, implicit signal processing have the potential to enhance interventions for young individuals with ASD. The limitations discussed mainly stem from the fact that no technological or automated tools were used to handle data, potentially introducing bias due to human error.",39293060,18,9,2024
Co-designing a virtual reality exposure therapy with students experiencing school anxiety: a proof-of-concept study.,"Anxiety related school avoidance can affect up to 5% of a country's students each year. VRET (Virtual Reality Exposure Therapy) is a novel therapy proven to be as effective as conventional approaches for treating many anxiety disorders. The aim of this research is to co-design and evaluate a VRET intervention for students experiencing school related anxiety. Eighteen adolescents participated in design thinking workshops where they developed a script and storyboard for the VRET. Using an iterative approach, a VRET prototype was developed based on this work. Eighteen teenagers were subsequently recruited to engage with the VRET for one session each and provide feedback on their experience via a structured questionnaire (supervised by a study coordinator) particularly focusing on the ability of the VR experience to reduce school related anxiety. Exposure therapy needs to produce an anxiety response to be effective. The VRET was effective in producing an anxiety response in 89% of participants. Results demonstrated that 93% of participants found the simulations immersive, 94% found the scenarios believable, and 83% could relate to 'Dala', the avatar in the videos. 100% of participants believed that VRET would help with school anxiety. This proof-of-concept study demonstrates favourable face validity indicating promise for this mode of intervention for delivering targeted support to anxious students. VRET could be used as a scalable, cost effective early intervention to reduce the severity of anxiety associated with school avoidance.",39291405,18,9,2024
Exploring the potential of digital therapeutics: An assessment of progress and promise.,"Digital therapeutics (DTx), a burgeoning subset of digital health solutions, has garnered considerable attention in recent times. These cutting-edge therapeutic interventions employ diverse technologies, powered by software algorithms, to treat, manage, and prevent a wide array of diseases and disorders. Although DTx shows significant promise as an integral component of medical care, its widespread integration is still in the preliminary stages. This limited adoption can be largely attributed to the scarcity of comprehensive research that delves into DTx's scope, including its technological underpinnings, potential application areas, and challenges-namely, regulatory hurdles and modest physician uptake. This review aims to bridge this knowledge gap by offering an in-depth overview of DTx products' value to both patients and clinicians. It evaluates the current state of maturity of DTx applications driven by digital technologies and investigates the obstacles that developers and regulators encounter in the market introduction phase.",39291152,12,9,2024
Learner evaluation of an immersive virtual reality mass casualty incident simulator for triage training.,"To minimize loss of life, modern mass casualty response requires swift identification, efficient triage categorization, and rapid hemorrhage control. Current training methods remain suboptimal. Our objective was to train first responders to triage a mass casualty incident using Virtual Reality (VR) simulation and obtain their impressions of the training's quality and effectiveness.We trained subjects in a triage protocol called Sort, Assess, Lifesaving interventions, and Treatment and/or Transport (SALT) Triage then had them respond to a terrorist bombing of a subway station using a fully immersive virtual reality simulation. We gathered learner reactions to their virtual reality experience and post-encounter debriefing with a custom electronic survey. The survey was designed to gather information about participants' demographics and prior experience, including roles, triage training, and virtual reality experience. We then asked them to evaluate the training and encounter and the system's potential for training others. We received 375 completed evaluation surveys from subjects who experienced the virtual reality encounter. Subjects were primarily paramedics, but also included medical learners as well as other emergency medical service (EMS) professionals. Most participants (95%) recommended the experience for other first responders and rated the simulation (95%) and virtual patients (91%) as realistic. Ninety-four percent (94%) of participants rated the virtual reality simulator as ""excellent"" or ""good."" We observed some differences between emergency medical service and medical professionals regarding their prior experience with disaster response training and their opinions on how much the experience contributed to their learning. We observed no differences between subjects with extensive virtual reality experience and those without. Our virtual reality simulator is an automated, customizable, fully immersive virtual reality system for training and assessing personnel in the proper response to a mass casualty incident. Participants perceived the simulator as an adequate alternative to traditional triage and treatment training and believed that the simulator was realistic and effective for training. Prior experience with virtual reality was not a prerequisite for the use of this system. The online version contains supplementary material available at 10.1186/s44247-024-00117-5.",39290871,16,9,2024
Examining the audiovisual therapy effects on hospital groups of varying linear canopy landscapes and those with hydrodynamic forces.,"Recent research has highlighted the beneficial effects of urban green spaces on physical and mental health. This study focused on the hospital population and innovatively subdivided the population into four groups: doctors, caregivers, patients and nurses. A total of 96 volunteers participated in this virtual reality experiment to assess the restoration of a linear canopy landscape and a landscape with different levels of hydrodynamics through interactive audiovisual immersion. We utilized pre-research method, brainwave monitoring technique, psychological scales, observation and interviews in this experiment. The research identified five key findings. First, both linear canopy landscapes and those with low to medium hydrodynamic forces significantly enhance physiological and psychological restoration for all groups, with the most substantial physiological benefits observed in doctors and patients, and the greatest psychological relief noted in caregivers. Second, landscapes with medium hydrodynamic forces yield higher restorative effects than those with low forces in hospital settings. Third, green landscapes with medium and low-density canopies prove more conducive to patient recovery compared to those with high-density canopies. Fourth, the inclusion of bird songs does not markedly affect physiological restoration across the hospital groups. Finally, landscapes that incorporate elements of water dynamics, open skies, and lightly foliated canopies draw significant interest from all groups involved. This study advocates for the integration of natural blue and green elements into hospital environments as complementary therapeutic interventions, aiming to alleviate stress and promote health recovery among hospital communities.",39290411,3,9,2024
Virtual reality education on myalgic encephalomyelitis for medical students and healthcare professionals: a pilot study.,"Myalgic encephalomyelitis/ chronic fatigue syndrome (ME/CFS) is a chronic condition which may be characterised by debilitating fatigue, post-exertional malaise, unrefreshing sleep, and cognitive difficulties. ME/CFS has significant negative impact on quality of life for those living with the condition. This may be exacerbated by a lack of knowledge within healthcare regarding the condition. Previous research has found that immersive virtual reality (VR) educational experiences within healthcare education can increase knowledge and empathy. The present study employed a quasi-experimental pre-test-post-test design to investigate the impact of a short immersive VR educational experience on knowledge of ME/CFS and empathy for those living with the condition. The VR experience placed participants into a virtual scene which told real life stories of the experience of people living with ME/CFS and their families. 43 participants completed in this pilot study: 28 medical students and 15 primary care health professionals. Participants completed measures of knowledge of ME/CFS and empathy before and after engagement with the experience. A statistically significant increase was found for levels of knowledge (p < .001, d = 0.74) and empathy (p < .001, d = 1.56) from pre-VR experience levels to post-VR experience levels with a medium and large effect size, respectively. Further analysis revealed no statistically significant difference between baseline levels of knowledge of ME/CFS between healthcare professionals and medical students. The present study is the first to explore the use of this short immersive VR experience as an education tool within healthcare to increase knowledge of ME/CFS, and empathy for those living with the condition. Findings allude to the previously established lack of knowledge of ME/CFS within healthcare although promisingly the increases in knowledge and empathy found suggest that this immersive VR experience has potential to address this. Such changes found in this small-scale pilot study suggest that future research into the use of VR as an educational tool within this setting may be beneficial. Use of a control group, and larger sample size as well as investigation of retention of these changes may also enhance future research.",39289650,17,9,2024
Virtual reality simulation for mastery learning of wrist radiograph technique.,"Virtual reality (VR) simulation is a technology that empowers students and radiographers to practice radiography in a virtual environment that resembles real-life clinical scenarios. The purpose of this randomised study was to examine the relationship between clinical specialty and the ability to assess and obtain a lateral wrist radiograph using a VR simulator. Radiographers and radiography students were recruited from the EFRS Research Hub at the 2024 European Congress of Radiology. After completing a background questionnaire, participants entered a VR simulator where they assessed lateral wrist radiographs and, if necessary, attempted a retake. Fisher's exact test was used to evaluate the relationship between specialties and participants' ability to assess positioning and perform retakes. Rank-biserial correlation estimated the relationship between participants' ability to reposition the VR patient and their VR experience and self-perceived confidence in wrist radiograph positioning. The cohort included 173 participants from 14 specialties across 21 countries. There was a borderline significant trend between clinical specialty and correct positioning assessment (p = 0.052) and between self-perceived confidence in acquiring wrist radiographs and repositioning for a retake (p = 0.052). Neither clinical specialty (p = 0.480) nor previous VR experience (p = 0.409) correlated with ability to reposition for a retake. While results indicated a potential correlation between participants' ability to position a VR patient and both clinical specialty and confidence in wrist radiography, these trends were not statistically significant. Nevertheless, the findings suggest that VR holds promise for radiography training, though further research is necessary to explore the factors that influence performance and learning. The incorporation of VR technology into standard radiography training programs could potentially improve patient outcomes by ensuring that radiography students are more skilled at acquiring quality radiographs prior to their first clinical practice. It should be noted though, that knowledge on positioning criteria and anatomy is an advantage when practicing correct positioning in a VR simulator.",39288469,16,9,2024
Operative Adjuncts in Pediatric Brain Tumor Surgery with a Focus on Suprasellar Tumors.,"The primary objective of surgery for brain tumor resection has always been maximizing safe resection while minimizing the risk to normal brain tissue. Technological advances applied in the operating room help surgeons to achieve this objective. This chapter discusses specific tools and approaches in the operating environment that target safe surgery for brain tumors in children, with a focus on pathologies in the sellar/suprasellar region. Particular focus is given to tools that help with safe patient positioning; intraoperative imaging modalities; and chemical visualization adjuncts. Both static (preoperative images used for neuronavigation) and dynamic (images updated during the procedure) intraoperative imaging modalities are discussed. There is further overview of operative rehearsal and preparation strategies, which are rapidly evolving as virtual reality systems become more commonplace. While the rapid evolution of intraoperative adjuncts in neurosurgery means the status of a given technology as novel is quite transient, this chapter offers a snapshot of the current state of advanced intraoperative tools for pediatric brain tumor surgery.",39287800,NA,NA,NA
Evolution of treatment for unspecific back pain: From past to future.,"Unspecific back pain (UBP) has long puzzled medical professionals. Historically, back pain (BP) was often attributed to mystical causes, treated with incantations or herbal concoctions. The Middle Ages shifted towards empirical practices, though still intertwined with superstition, using methods like leeches and bloodletting. The Renaissance introduced systematic healthcare approaches, laying the foundation for modern medicine. The 20th century saw significant advancements with diagnostic imaging, pharmacotherapy, physical therapy, and surgical interventions, though UBP remained elusive. Recent decades have seen a paradigm shift towards multidisciplinary approaches, addressing BP's multifactorial nature through holistic methods considering biomechanical, psychosocial, and lifestyle factors. This shift integrates quantitative research with hermeneutic interpretation, emphasizing evidence-based guidelines. Non-pharmacological interventions such as exercise therapy, electrotherapy, cognitive behavioral therapy, and mindfulness-based stress reduction have gained prominence, empowering individuals in their recovery. Technological innovations like virtual reality and artificial intelligence offer personalized treatment plans, optimizing outcomes. The future of BP treatment holds promise with advancements in regenerative medicine, neuromodulation, telemedicine, and remote monitoring platforms, enhancing accessibility and continuity of care, especially in underserved communities. However, challenges such as the opioid epidemic and healthcare disparities remain, necessitating judicious prescribing practices and equitable resource distribution. The evolving treatment landscape for UBP reflects the dynamic interplay between scientific progress, clinical innovation, and societal needs, aiming to alleviate the burden of back pain and improve quality of life.",39287341,5,9,2024
